Trait_Type,Original_Trait,New_Trait,New_Trait_w_ID
HEADWEAR,Police Cap,Enforcer's Shadow Cap,APE Enforcer's Shadow Cap
HEADWEAR,Red Hair,Blazed Hair,APE Blazed Hair
HEADWEAR,Red Ripple Cap,Bladed Spinner Cap,APE Bladed Spinner Cap
HEADWEAR,Robin,Forest Rogue Cap,APE Forest Rogue Cap
HEADWEAR,Sailor,Subdued Sea Cap,APE Subdued Sea Cap
HEADWEAR,Sombrero,Jungle Shade Sombrero,APE Jungle Shade Sombrero
HEADWEAR,Spinner,Rotor Jungle Cap,APE Rotor Jungle Cap
HEADWEAR,Superman,Superman,APE Superman
HEADWEAR,Tinfoil,Thorned Shadow Hat,APE Thorned Shadow Hat
HEADWEAR,Top Hat,Crimson Claw Topper,APE Crimson Claw Topper
HEADWEAR,Umbrella Hat,Monsoon Shadow Protector,APE Monsoon Shadow Protector
HEADWEAR,Viking,Jungle Warrior Cap,APE Jungle Warrior Cap
HEADWEAR,Visor,Jungle Shade Visor,APE Jungle Shade Visor
HEADWEAR,Wizard Hat,Feral Cap,APE Feral Cap
HEADWEAR,XRP Cap,Cryptic Jungle X-Cap,APE Cryptic Jungle X-Cap
SKIN,Snake,Abyssal Viper Snakes,HOG Abyssal Viper Snakes
SKIN,Panda,Eclipse Orb Canvas,HOG Eclipse Orb Canvas
SKIN,Slimey,Verdant Flux Dermis,HOG Verdant Flux Dermis
SKIN,Lava,Lava ,HOG Lava 
SKIN,Normal,Normal,HOG Normal
SKIN,Zebra,Onyxhide Stripes,HOG Onyxhide Stripes
SKIN,Giraffe,Shadowhide Giraffe,HOG Shadowhide Giraffe
SKIN,Rhino,Titanhide,HOG Titanhide
SKIN,Black,Fire from Apes,HOG Fire from Apes
SKIN,Camo,Shadowstrike Commando,HOG Shadowstrike Commando
SKIN,Tigershark,Obsidianfin Tigershadow,HOG Obsidianfin Tigershadow
SKIN,Cyborg,Cybershadow ,HOG Cybershadow 
SKIN,Orange,Junglesworn Scar,HOG Junglesworn Scar
SKIN,Diamond,Abyssal Diamondglow,HOG Abyssal Diamondglow
SKIN,Snowleopard,Frostshadow Leopard,HOG Frostshadow Leopard
SKIN,White,Luminarctic Frostweave,HOG Luminarctic Frostweave
SKIN,Cow,Duskfang Bovine Hide,HOG Duskfang Bovine Hide
SKIN,Gold,Gilded Fang Hide,HOG Gilded Fang Hide
SKIN,Bacon,Burned Bacon,HOG Burned Bacon
SKIN,Pink,Blightrose Hide,HOG Blightrose Hide
SKIN,Blue,Obsidian Azure Spikes,HOG Obsidian Azure Spikes
SKIN,Zombie,Rotvenom Husk,HOG Rotvenom Husk
Clothing,Caveman,Stonehide Primalgarb,HOG Stonehide Primalgarb
Clothing,Polo,Crimson Shadowweave,HOG Crimson Shadowweave
Clothing,Basketball Shirt,Infernal Decathlete Jersey,HOG Infernal Decathlete Jersey
Clothing,None,None,HOG None
Clothing,XRP Sweater,Cryptoshade XRP Hoodie,HOG Cryptoshade XRP Hoodie
Clothing,Futuristic,Obsidiansteel Shadowplate,HOG Obsidiansteel Shadowplate
Clothing,Mud spots,Eldritch Slime Patches,HOG Eldritch Slime Patches
Clothing,Necklace,Twin Seraph Chains,HOG Twin Seraph Chains
Clothing,Jeans Shirt,Denim Shadowweave Shirt,HOG Denim Shadowweave Shirt
Clothing,Prison,Emberstrapped Penitence Attire,HOG Emberstrapped Penitence Attire
Clothing,Striped,Shadowline Veilshirt,HOG Shadowline Veilshirt
Clothing,Viking,Nordic Valorweave Attire,HOG Nordic Valorweave Attire
Clothing,PRINCESS DRESS,Regal Blushgown,HOG Regal Blushgown
Clothing,Mob suit,Syndicate Suit,HOG Syndicate Suit
Clothing,Mc Polo,Shadowgrill Uniform,HOG Shadowgrill Uniform
Clothing,Hoodie,,HOG 
Clothing,Training Suit,Training,HOG Training
Clothing,T Shirt,Jungle Baynana Tee,HOG Jungle Baynana Tee
Clothing,Leopard Bathrobe,Shadowcat Obsidian Robe,HOG Shadowcat Obsidian Robe
Clothing,Suoerhog,Heroic Hog Ensemble,HOG Heroic Hog Ensemble
Clothing,Wife Beater,Arctic Essence Sleeveless Tunic,HOG Arctic Essence Sleeveless Tunic
Clothing,Ammo,Armory Harness,HOG Armory Harness
Clothing,Farmer,Harvest Horizon Ensemble,HOG Harvest Horizon Ensemble
Clothing,Cowboy Shirt,Midnight Maverick Shirt,HOG Midnight Maverick Shirt
Clothing,Ripped,Feral Mark T-Shirt,HOG Feral Mark T-Shirt
Clothing,Knight,Shadowsteel Knight Hauberk,HOG Shadowsteel Knight Hauberk
Clothing,Biker Vest,Midnight Rebel Biker Vest,HOG Midnight Rebel Biker Vest
Clothing,Robot,Nexus Cyborg Armor,HOG Nexus Cyborg Armor
Clothing,Monk,Shadow Monk,HOG Shadow Monk
Clothing,Leather Jacket,Obsidian Shadow Jacket,HOG Obsidian Shadow Jacket
Clothing,Suspender,Sleek Suspenders,HOG Sleek Suspenders
Clothing,Hawaiian Shirt,Solar Tropic Thunder Shirt,HOG Solar Tropic Thunder Shirt
Clothing,Pirate,Shadow Buccaneer Vest,HOG Shadow Buccaneer Vest
Clothing,Space,Nebula Vanguard,HOG Nebula Vanguard
Clothing,Lumberjack,Crimson Timberjack Flannel,HOG Crimson Timberjack Flannel
Clothing,XRP Shirt,Shadow XRP Vanguard Tee,HOG Shadow XRP Vanguard Tee
Clothing,Jacket, Scarlet Sentinel,HOG  Scarlet Sentinel
Clothing,Samurai 2,Obsidian Ronin Armor,HOG Obsidian Ronin Armor
Clothing,Police,Jungle Vigilante,HOG Jungle Vigilante
Clothing,Mummy,Abyssal Relic Shroud,HOG Abyssal Relic Shroud
Clothing,Nirvana,Nrivana Embrace,HOG Nrivana Embrace
Clothing,Futuristic 2,Shadowguard Futuraarmor,HOG Shadowguard Futuraarmor
Clothing,Samurai,Shadow Ronin Vanguard,HOG Shadow Ronin Vanguard
Clothing,Prison 2,Shadow Striped,HOG Shadow Striped
Clothing,King,Regal Crimson Mantle,HOG Regal Crimson Mantle
Clothing,Army General,Shadow Legion Command Regalia,HOG Shadow Legion Command Regalia
Clothing,Labcoat,Obsidian Laboratory Vestment,HOG Obsidian Laboratory Vestment
Eyes,Tired,Tired H,HOG Tired H
Eyes,Blue eye,Blue eye,HOG Blue eye
Eyes,Normal,Normal H,HOG Normal H
Eyes,Open,Open H,HOG Open H
Eyes,Round Glasses,Stellar Star Gaze Spectacles,HOG Stellar Star Gaze Spectacles
Eyes,Star Glasses,Celestial Starlight Shades,HOG Celestial Starlight Shades
Eyes,3D Glasses,Prism Vision Spectacles,HOG Prism Vision Spectacles
Eyes,Happy,Happy H,HOG Happy H
Eyes,Scar,Scar H,HOG Scar H
Eyes,Orange,Orange,HOG Orange
Eyes,Egg,Mutated Omelette,HOG Mutated Omelette
Eyes,Pierceing,Piercing,HOG Piercing
Eyes,Pirate Patch,Voidcurse Raider Patch,HOG Voidcurse Raider Patch
Eyes,Cyborg,Cyber Eclipse Optic,HOG Cyber Eclipse Optic
Eyes,Monocle,Nebula Gazer Monocle,HOG Nebula Gazer Monocle
Eyes,Shy,Shy H,HOG Shy H
Eyes,Zombie,Zombie H,HOG Zombie H
Eyes,Bird,Duskraven Sentinel,HOG Duskraven Sentinel
Eyes,Coins,Coins H,HOG Coins H
Eyes,Highwayman Mask,Veil of Ashrift,HOG Veil of Ashrift
Eyes,XX,XX H,HOG XX H
Eyes,3D Eyes,Shocked ,HOG Shocked 
Eyes,High,High H,HOG High H
Eyes,Green,Venomshade,HOG Venomshade
Eyes,Heart,Bloodthorn,HOG Bloodthorn
Eyes,Hypno,Void Spiral Lenses,HOG Void Spiral Lenses
Eyes,Sleepy,Sleepy H,HOG Sleepy H
Eyes,Harley,Voidstrike Shades,HOG Voidstrike Shades
Eyes,Future,Eclipse Vision,HOG Eclipse Vision
Eyes,Red laser,Red laser H,HOG Red laser H
Eyes,Thuglife,Thug Shadow,HOG Thug Shadow
Eyes,Blue laser,Blue Laser H,HOG Blue Laser H
Headwear,Backwards Cap,Backwards Bloodshade Raider Cap,HOG Backwards Bloodshade Raider Cap
Headwear,Strawhat 2,Duskrider Woven Hat 2,HOG Duskrider Woven Hat 2
Headwear,Viking,Sunrift Warhelm,HOG Sunrift Warhelm
Headwear,Removed,Removed,HOG Removed
Headwear,Chinese Hat,Obsidian Fang War Hat,HOG Obsidian Fang War Hat
Headwear,None,None,HOG None
Headwear,Birdnest,Shadowcrest Nest,HOG Shadowcrest Nest
Headwear,Retro Headphones,Dreadwave Resonators,HOG Dreadwave Resonators
Headwear,Halo,Halo,HOG Halo
Headwear,Baseball Cap,Bloodshade Raider Cap,HOG Bloodshade Raider Cap
Headwear,Army Beret,Warlord's Beret,HOG Warlord's Beret
Headwear,Monkey hat,Furychimp Hood,HOG Furychimp Hood
Headwear,Propeller,Stormborne Rotor Cap,HOG Stormborne Rotor Cap
Headwear,Pirate,Void Corsair Tricorn,HOG Void Corsair Tricorn
Headwear,Sombrero,Duskrider Sombrero,HOG Duskrider Sombrero
Headwear,Bandana,Duskrider Headwrap,HOG Duskrider Headwrap
Headwear,McHog,zombie H,HOG zombie H
Headwear,Mohawk,Inferno Fang Mohawk,HOG Inferno Fang Mohawk
Headwear,Knight Helmet,Warborn Crest Helm,HOG Warborn Crest Helm
Headwear,Helmet,Ironwind Aviator Cap?,HOG Ironwind Aviator Cap?
Headwear,Straw hat,Duskrider Woven Hat,HOG Duskrider Woven Hat
Headwear,XRP Hat,Bloodcrest XRP Cap,HOG Bloodcrest XRP Cap
Headwear,Samurai,Phantom Striker Headband,HOG Phantom Striker Headband
Headwear,Russian Hat,Frostborne Hat,HOG Frostborne Hat
Headwear,Flat Cap,Dustspire Cap,HOG Dustspire Cap
Headwear,Drinking Cap,Toxic Drip Reactor Cap,HOG Toxic Drip Reactor Cap
Headwear,Tophat,Obsidian Hex Topper,HOG Obsidian Hex Topper
Headwear,Chief,Ashfang Headdress,HOG Ashfang Headdress
Headwear,Crown,Thornforged Crown,HOG Thornforged Crown
Headwear,Banana,Baynana Huskhelm,HOG Baynana Huskhelm
Headwear,Indian Hat,Toxveil Turban,HOG Toxveil Turban
Headwear,Antler,Ashrack Antlers,HOG Ashrack Antlers
Headwear,Police,Hog Enforcer Cap?,HOG Hog Enforcer Cap?
Headwear,Beret,Shadowspire Beret,HOG Shadowspire Beret
Headwear,Nightvision,Gravelight Optics,HOG Gravelight Optics
Mouth,Closed,Closed H,HOG Closed H
Mouth,Pizza,Infernapep Slice,HOG Infernapep Slice
Mouth,Angry,Angry H,HOG Angry H
Mouth,Dynamite,Blazestick,HOG Blazestick
Mouth,Zombie,Zombie H,HOG Zombie H
Mouth,Sad,Sad H,HOG Sad H
Mouth,Grin,Grin H,HOG Grin H
Mouth,Rotten,Rotten,HOG Rotten
Mouth,Stitch,Stitch H,HOG Stitch H
Mouth,Dagger,Emberfang Dagger,HOG Emberfang Dagger
Mouth,Big Cigarette,Smofang Emberroll,HOG Smofang Emberroll
Mouth,Cigar,Blightwrap Cinderroll,HOG Blightwrap Cinderroll
Mouth,Lolly,Venomlick Shardpop,HOG Venomlick Shardpop
Mouth,Banana,Feralbane Husk,HOG Feralbane Husk
Mouth,Rainbow Teeth,Prismfang Grille,HOG Prismfang Grille
Mouth,Gold Teeth,Molten Maw,HOG Molten Maw
Mouth,Long Beard,Long Beard,HOG Long Beard
Mouth,Gold Pipe,Sunfang Pipe,HOG Sunfang Pipe
Mouth,Diamond Pipe,Shardsmoke Scepter,HOG Shardsmoke Scepter
Mouth,Rainbow Doodle,Oblivion Rainbow,HOG Oblivion Rainbow
Mouth,Tongue,Tongue H,HOG Tongue H
Mouth,Xumm,Xumm,HOG Xumm
Mouth,Cigarette,Ashvein Stick,HOG Ashvein Stick
Mouth,Diamond Teeth,Shatterbite Grille,HOG Shatterbite Grille
Tusks,Normal,Normal H,HOG Normal H
Tusks,Bird,Shadowcrest Nest,HOG Shadowcrest Nest
Tusks,Wooden Tusk,Ironbark Tusks,HOG Ironbark Tusks
Tusks,Silver Tusk,Silver Tusks,HOG Silver Tusks
Tusks,Gold,Sovereign Fang Bone,HOG Sovereign Fang Bone
Tusks,Broken,Broken Bone,HOG Broken Bone
Tusks,Bronze Tusk,Verdigris Fang,HOG Verdigris Fang
Tusks,Iron,Spineforge Tusks,HOG Spineforge Tusks
Tusks,Songbird Color,Songbird Fangs,HOG Songbird Fangs
Tusks,Tech Tusk,Cybernetic Tusks,HOG Cybernetic Tusks
Tusks,Slimey,Goreglop Tusks,HOG Goreglop Tusks
Tusks,Lava,Moltusk Fangs,HOG Moltusk Fangs
Tusks,Samurai Sword,Blightfang Katana,HOG Blightfang Katana
Tusks,Banana,Rotfang Husk,HOG Rotfang Husk
Tusks,Candy,Bloodstripe Fang,HOG Bloodstripe Fang
Tusks,Diamond Tusk,Abyssal Shine Bone,HOG Abyssal Shine Bone
